18,1,"Then Solomon sat on the throne of the Lord as king instead of David his father, and prospered; and all Israel obeyed him."
20,20,"And they rose early in the morning, and went out into the wilderness of Tekoa: and as they went out, Jehoshaphat stood and said, Hear me, O Judah, and ye inhabitants of Jerusalem; Believe in the Lord your God, so shall ye be established; believe his prophets, so shall ye prosper."
13,12,"And, behold, God himself is with us for our captain, and his priests with sounding trumpets to cry alarm against you. O children of Israel, fight ye not against the Lord God of your fathers; for ye shall not prosper."
29,11,"My sons, be not now negligent: for the Lord hath chosen you to stand before him, to serve him, and that ye should minister unto him, and burn incense."
25,9,"Thou preparest war against the Lord, and against his people, and against the kingdom of the sons of Israel."
14,7,"Be ye strong therefore, and let not your hands be weak: for your work shall be rewarded."
17,6,"And his heart was lifted up in the ways of the Lord: moreover also he took away the high places and groves out of Judah."
24,20,"And the Spirit of God came upon Zechariah the son of Jehoiada the priest, which stood above the people, and said, Thus saith God, Why transgress ye the commandments of the Lord, that ye cannot prosper? because ye have forsaken the Lord, he hath also forsaken you."
15,2,"And he went out to meet Asa, and said unto him, Hear thou me, Asa, and all Judah and Benjamin; The Lord is with you, while ye be with him; and if ye seek him, he will be found of you; but if ye forsake him, he will forsake you."
26,5,"And he sought God in the days of Zechariah, who had understanding in the visions of God: and as long as he sought the Lord, God made him to prosper."
21,7,"Howbeit the Lord would not destroy the house of David, because of the covenant that he had made with David, and as he promised to give a light to him and to his sons for ever."
19,3,"And Jehoshaphat said, Is not the Lord our God with us? is not God on our side? did he not deliver us from the hand of the Syrians?"
28,9,"But a prophet of the Lord was there, whose name was Oded: and he went out before the host that came to Samaria, and said unto them, Behold, because the Lord God of your fathers was wroth with Judah, he hath delivered them into your hand, and ye have slain them in a rage that reacheth up unto heaven."
